step,epoch,train_loss,val_loss,val_qa_sas,val_qa_answer_f1,val_qa_bert_score,val_qa_em,test_avg_qa_bert_score,test_avg_qa_em,test_avg_qa_sas,test_avg_qa_answer_f1,test_loss
9,0,0.8198253512382507,,,,,,,,,,
19,0,1.1440439224243164,,,,,,,,,,
29,0,1.1931757926940918,,,,,,,,,,
39,0,0.9882377982139587,,,,,,,,,,
49,0,1.0395653247833252,,,,,,,,,,
52,0,,1.155655026435852,0.5215970277786255,0.41417327523231506,0.8421782851219177,0.2227722704410553,,,,,
59,1,1.4918190240859985,,,,,,,,,,
69,1,1.5809231996536255,,,,,,,,,,
79,1,1.4862170219421387,,,,,,,,,,
89,1,0.7053965926170349,,,,,,,,,,
99,1,0.9693319201469421,,,,,,,,,,
105,1,,1.1335422992706299,0.51318359375,0.4027232825756073,0.8379926085472107,0.2227722704410553,,,,,
109,2,1.5878926515579224,,,,,,,,,,
119,2,0.48459765315055847,,,,,,,,,,
129,2,0.9537944197654724,,,,,,,,,,
139,2,1.057054042816162,,,,,,,,,,
149,2,0.7149016261100769,,,,,,,,,,
158,2,,1.1078029870986938,0.49342697858810425,0.3785817623138428,0.8324729204177856,0.18316832184791565,,,,,
159,3,1.4133927822113037,,,,,,,,,,
169,3,0.901685357093811,,,,,,,,,,
179,3,1.0211042165756226,,,,,,,,,,
189,3,1.026324987411499,,,,,,,,,,
199,3,0.812390923500061,,,,,,,,,,
209,3,1.3418052196502686,,,,,,,,,,
211,3,,1.0960348844528198,0.4933706521987915,0.37911176681518555,0.832761824131012,0.19801980257034302,,,,,
219,4,1.5282498598098755,,,,,,,,,,
229,4,0.7628574371337891,,,,,,,,,,
239,4,0.4506494402885437,,,,,,,,,,
249,4,0.7529354691505432,,,,,,,,,,
259,4,1.374433159828186,,,,,,,,,,
264,4,,1.0860114097595215,0.5129957795143127,0.3943731188774109,0.8363918662071228,0.18316832184791565,,,,,
265,5,,,,,,,0.8363918662071228,0.18316832184791565,0.5129957795143127,0.3943731188774109,1.0860114097595215
