step,train_loss,epoch,val_loss,val_qa_bert_score,val_qa_answer_f1,val_qa_em,val_qa_sas,test_avg_qa_em,test_avg_qa_answer_f1,test_avg_qa_bert_score,test_loss,test_avg_qa_sas
9,1.8185900449752808,0,,,,,,,,,,
19,3.8847765922546387,0,,,,,,,,,,
29,2.4851174354553223,0,,,,,,,,,,
39,1.89936363697052,0,,,,,,,,,,
49,1.922594666481018,0,,,,,,,,,,
49,,0,1.9841784238815308,0.7777431011199951,0.18816345930099487,0.03333333507180214,0.2753539979457855,,,,,
59,1.5047988891601562,1,,,,,,,,,,
69,1.4300251007080078,1,,,,,,,,,,
79,2.1989543437957764,1,,,,,,,,,,
89,1.9238978624343872,1,,,,,,,,,,
99,1.2566269636154175,1,,,,,,,,,,
99,,1,1.9110990762710571,0.7919984459877014,0.24242760241031647,0.06666667014360428,0.3378662168979645,,,,,
109,1.3120253086090088,2,,,,,,,,,,
119,1.2284809350967407,2,,,,,,,,,,
129,0.6340610980987549,2,,,,,,,,,,
139,2.437256336212158,2,,,,,,,,,,
149,2.016979694366455,2,,,,,,,,,,
149,,2,1.871662974357605,0.7965540289878845,0.26188915967941284,0.0625,0.3588094115257263,,,,,
159,1.2303543090820312,3,,,,,,,,,,
169,0.9894719123840332,3,,,,,,,,,,
179,1.4057834148406982,3,,,,,,,,,,
189,1.6456148624420166,3,,,,,,,,,,
199,1.202447533607483,3,,,,,,,,,,
199,,3,1.8352465629577637,0.8015620708465576,0.27408188581466675,0.05416666716337204,0.3719319701194763,,,,,
209,2.0420615673065186,4,,,,,,,,,,
219,1.4086781740188599,4,,,,,,,,,,
229,1.5134613513946533,4,,,,,,,,,,
239,1.2581313848495483,4,,,,,,,,,,
249,1.045140027999878,4,,,,,,,,,,
249,,4,1.8353447914123535,0.7990124225616455,0.2709212303161621,0.0625,0.3708048462867737,,,,,
250,,5,,,,,,0.0625,0.2709212303161621,0.7990124225616455,1.8353447914123535,0.3708048462867737
