step,epoch,train_loss,val_qa_bert_score,val_qa_answer_f1,val_loss,val_qa_em,val_qa_sas,test_avg_qa_em,test_avg_qa_answer_f1,test_loss,test_avg_qa_bert_score,test_avg_qa_sas
9,0,2.0112102031707764,,,,,,,,,,
19,0,0.8800248503684998,,,,,,,,,,
29,0,0.6529665589332581,,,,,,,,,,
39,0,0.949604868888855,,,,,,,,,,
49,0,0.5951647162437439,,,,,,,,,,
59,0,0.39925867319107056,,,,,,,,,,
59,0,,0.7989193797111511,0.2995770275592804,0.5051560997962952,0.21691176295280457,0.27952706813812256,,,,,
69,1,0.4754638373851776,,,,,,,,,,
79,1,0.4147016704082489,,,,,,,,,,
89,1,0.5381289720535278,,,,,,,,,,
99,1,0.461897075176239,,,,,,,,,,
109,1,0.3482256233692169,,,,,,,,,,
119,1,0.3343682885169983,,,,,,,,,,
119,1,,0.8162632584571838,0.36433693766593933,0.4056340157985687,0.29411765933036804,0.34396791458129883,,,,,
129,2,0.38397452235221863,,,,,,,,,,
139,2,0.3031670153141022,,,,,,,,,,
149,2,0.30697113275527954,,,,,,,,,,
159,2,0.4279888868331909,,,,,,,,,,
169,2,0.46049201488494873,,,,,,,,,,
179,2,0.10142865777015686,,,,,,,,,,
179,2,,0.8334414958953857,0.4157351851463318,0.3549998104572296,0.34558823704719543,0.39006486535072327,,,,,
189,3,0.16921888291835785,,,,,,,,,,
199,3,0.21485380828380585,,,,,,,,,,
209,3,0.23988503217697144,,,,,,,,,,
219,3,0.2986309230327606,,,,,,,,,,
229,3,0.40142351388931274,,,,,,,,,,
239,3,0.44422295689582825,,,,,,,,,,
239,3,,0.8331583142280579,0.4152897298336029,0.33702442049980164,0.3345588147640228,0.3863239288330078,,,,,
249,4,0.3112482726573944,,,,,,,,,,
259,4,0.33086004853248596,,,,,,,,,,
269,4,0.3757162392139435,,,,,,,,,,
279,4,0.27357426285743713,,,,,,,,,,
289,4,0.3857940435409546,,,,,,,,,,
299,4,0.2630254626274109,,,,,,,,,,
299,4,,0.8432800769805908,0.4422468841075897,0.3298857510089874,0.3639705777168274,0.4118342995643616,,,,,
300,5,,,,,,,0.3639705777168274,0.4422468841075897,0.3298857510089874,0.8432800769805908,0.4118342995643616
