epoch,train_loss,step,val_qa_em,val_qa_bert_score,val_qa_sas,val_qa_answer_f1,val_loss,test_avg_qa_sas,test_loss,test_avg_qa_em,test_avg_qa_bert_score,test_avg_qa_answer_f1
0,0.9339220523834229,9,,,,,,,,,,
0,0.8112161159515381,19,,,,,,,,,,
0,0.5595690608024597,29,,,,,,,,,,
0,0.6949220299720764,39,,,,,,,,,,
0,0.4573667347431183,49,,,,,,,,,,
0,0.6992092132568359,59,,,,,,,,,,
0,,61,0.24152542650699615,0.812710702419281,0.29186108708381653,0.30705147981643677,0.3516673147678375,,,,,
1,0.5022909641265869,69,,,,,,,,,,
1,0.4813348948955536,79,,,,,,,,,,
1,0.425678014755249,89,,,,,,,,,,
1,0.3914303779602051,99,,,,,,,,,,
1,0.5271344184875488,109,,,,,,,,,,
1,0.25958818197250366,119,,,,,,,,,,
1,,123,0.3050847351551056,0.8453325629234314,0.3723433315753937,0.3948761820793152,0.3164382874965668,,,,,
2,0.3766118288040161,129,,,,,,,,,,
2,0.2829084098339081,139,,,,,,,,,,
2,0.27538958191871643,149,,,,,,,,,,
2,0.2654724717140198,159,,,,,,,,,,
2,0.3380488455295563,169,,,,,,,,,,
2,0.3126700818538666,179,,,,,,,,,,
2,,185,0.3813559412956238,0.8654507994651794,0.44532161951065063,0.4799099266529083,0.28140538930892944,,,,,
3,0.258461058139801,189,,,,,,,,,,
3,0.19639822840690613,199,,,,,,,,,,
3,0.36959126591682434,209,,,,,,,,,,
3,0.3600228428840637,219,,,,,,,,,,
3,0.2916377782821655,229,,,,,,,,,,
3,0.2906569242477417,239,,,,,,,,,,
3,,247,0.4067796468734741,0.869541585445404,0.4580955505371094,0.4864370822906494,0.25939175486564636,,,,,
4,0.1674003154039383,249,,,,,,,,,,
4,0.34592482447624207,259,,,,,,,,,,
4,0.18198832869529724,269,,,,,,,,,,
4,0.21997828781604767,279,,,,,,,,,,
4,0.2390298992395401,289,,,,,,,,,,
4,0.17289596796035767,299,,,,,,,,,,
4,0.21980798244476318,309,,,,,,,,,,
4,,309,0.43644067645072937,0.8660997748374939,0.47210749983787537,0.49642670154571533,0.2526124119758606,,,,,
5,,310,,,,,,0.47210749983787537,0.2526124119758606,0.43644067645072937,0.8660997748374939,0.49642670154571533
