step,train_loss,epoch,val_qa_em,val_qa_sas,val_qa_answer_f1,val_loss,val_qa_bert_score,test_avg_qa_sas,test_avg_qa_answer_f1,test_avg_qa_bert_score,test_loss,test_avg_qa_em
9,1.9492833614349365,0,,,,,,,,,,
19,0.9788124561309814,0,,,,,,,,,,
29,1.362160086631775,0,,,,,,,,,,
39,1.2476283311843872,0,,,,,,,,,,
49,1.9810041189193726,0,,,,,,,,,,
53,,0,0.2594594657421112,0.4839681088924408,0.45044952630996704,1.5885711908340454,0.833770751953125,,,,,
59,1.651814341545105,1,,,,,,,,,,
69,1.0717713832855225,1,,,,,,,,,,
79,1.9990328550338745,1,,,,,,,,,,
89,1.7960948944091797,1,,,,,,,,,,
99,1.4405311346054077,1,,,,,,,,,,
107,,1,0.318918913602829,0.5254313349723816,0.49032601714134216,1.4245651960372925,0.8444594740867615,,,,,
109,1.756894826889038,2,,,,,,,,,,
119,1.7440065145492554,2,,,,,,,,,,
129,0.7197824716567993,2,,,,,,,,,,
139,7.070091724395752,2,,,,,,,,,,
149,1.3091222047805786,2,,,,,,,,,,
159,0.9199823141098022,2,,,,,,,,,,
161,,2,0.3567567467689514,0.5518595576286316,0.5228484869003296,1.3656569719314575,0.856020450592041,,,,,
169,1.0343358516693115,3,,,,,,,,,,
179,4.414602279663086,3,,,,,,,,,,
189,1.0223702192306519,3,,,,,,,,,,
199,1.3853299617767334,3,,,,,,,,,,
209,0.9894227385520935,3,,,,,,,,,,
215,,3,0.3729729652404785,0.56719970703125,0.5439552664756775,1.292771816253662,0.8635742664337158,,,,,
219,0.5732333064079285,4,,,,,,,,,,
229,0.8170679211616516,4,,,,,,,,,,
239,1.0897608995437622,4,,,,,,,,,,
249,0.5023840665817261,4,,,,,,,,,,
259,2.963024854660034,4,,,,,,,,,,
269,1.1367567777633667,4,,,,,,,,,,
269,,4,0.3675675690174103,0.56756591796875,0.5299398303031921,1.2738996744155884,0.8644385933876038,,,,,
270,,5,,,,,,0.56756591796875,0.5299398303031921,0.8644385933876038,1.2738996744155884,0.3675675690174103
