epoch,step,train_loss,val_qa_sas,val_qa_bert_score,val_qa_em,val_qa_answer_f1,val_loss,test_avg_qa_answer_f1,test_avg_qa_bert_score,test_avg_qa_em,test_loss,test_avg_qa_sas
0,9,2.783806324005127,,,,,,,,,,
0,19,2.0691728591918945,,,,,,,,,,
0,29,2.2046923637390137,,,,,,,,,,
0,39,3.1678614616394043,,,,,,,,,,
0,49,1.8390841484069824,,,,,,,,,,
0,53,,0.13240079581737518,0.7214394211769104,0.04324324429035187,0.07839355617761612,1.446735143661499,,,,,
1,59,2.5241594314575195,,,,,,,,,,
1,69,1.6484819650650024,,,,,,,,,,
1,79,1.1876368522644043,,,,,,,,,,
1,89,1.2438277006149292,,,,,,,,,,
1,99,1.5168477296829224,,,,,,,,,,
1,107,,0.25915923714637756,0.7618162035942078,0.1135135143995285,0.21092265844345093,1.2645785808563232,,,,,
2,109,2.0239689350128174,,,,,,,,,,
2,119,1.2292712926864624,,,,,,,,,,
2,129,0.904181718826294,,,,,,,,,,
2,139,0.7946692705154419,,,,,,,,,,
2,149,1.0339826345443726,,,,,,,,,,
2,159,0.8175429701805115,,,,,,,,,,
2,161,,0.397309273481369,0.8156880736351013,0.21621622145175934,0.35522952675819397,1.1586073637008667,,,,,
3,169,0.9221909642219543,,,,,,,,,,
3,179,1.1195610761642456,,,,,,,,,,
3,189,0.745046079158783,,,,,,,,,,
3,199,0.8278658390045166,,,,,,,,,,
3,209,0.9268159866333008,,,,,,,,,,
3,215,,0.4858182370662689,0.8449997305870056,0.31351351737976074,0.444348007440567,1.0163966417312622,,,,,
4,219,0.9484651684761047,,,,,,,,,,
4,229,0.5596654415130615,,,,,,,,,,
4,239,0.7488308548927307,,,,,,,,,,
4,249,0.7387633919715881,,,,,,,,,,
4,259,0.8133553266525269,,,,,,,,,,
4,269,1.2106564044952393,,,,,,,,,,
4,269,,0.5461074709892273,0.857073962688446,0.3513513505458832,0.4960125982761383,0.9804021120071411,,,,,
5,270,,,,,,,0.4960125982761383,0.857073962688446,0.3513513505458832,0.9804021120071411,0.5461074709892273
