step,epoch,train_loss,val_qa_bert_score,val_qa_sas,val_qa_answer_f1,val_loss,val_qa_em,test_avg_qa_em,test_avg_qa_sas,test_loss,test_avg_qa_bert_score,test_avg_qa_answer_f1
9,0,3.0547263622283936,,,,,,,,,,
19,0,2.1245806217193604,,,,,,,,,,
29,0,1.676926612854004,,,,,,,,,,
39,0,2.5129270553588867,,,,,,,,,,
49,0,2.951343536376953,,,,,,,,,,
50,0,,0.7443621158599854,0.2410266399383545,0.2055414319038391,2.339789867401123,0.134782612323761,,,,,
59,1,1.413313627243042,,,,,,,,,,
69,1,2.0988550186157227,,,,,,,,,,
79,1,1.5483012199401855,,,,,,,,,,
89,1,1.4658983945846558,,,,,,,,,,
99,1,2.021007776260376,,,,,,,,,,
101,1,,0.776063859462738,0.33933499455451965,0.2960003614425659,2.1001245975494385,0.20000000298023224,,,,,
109,2,1.8370487689971924,,,,,,,,,,
119,2,1.3084110021591187,,,,,,,,,,
129,2,1.7497652769088745,,,,,,,,,,
139,2,1.5735045671463013,,,,,,,,,,
149,2,1.4021360874176025,,,,,,,,,,
152,2,,0.7874487042427063,0.37848764657974243,0.35113492608070374,1.9806292057037354,0.239130437374115,,,,,
159,3,1.5324978828430176,,,,,,,,,,
169,3,1.7267072200775146,,,,,,,,,,
179,3,1.5467368364334106,,,,,,,,,,
189,3,1.7699850797653198,,,,,,,,,,
199,3,2.0839521884918213,,,,,,,,,,
203,3,,0.7979124784469604,0.38496658205986023,0.35868367552757263,1.9584224224090576,0.24347825348377228,,,,,
209,4,1.6644470691680908,,,,,,,,,,
219,4,1.8152961730957031,,,,,,,,,,
229,4,1.7476800680160522,,,,,,,,,,
239,4,1.6635682582855225,,,,,,,,,,
249,4,1.2430683374404907,,,,,,,,,,
254,4,,0.7998067140579224,0.4121823012828827,0.3857230246067047,1.914345622062683,0.269565224647522,,,,,
255,5,,,,,,,0.269565224647522,0.4121823012828827,1.914345622062683,0.7998067140579224,0.3857230246067047
