epoch,train_loss,step,val_qa_sas,val_qa_bert_score,val_qa_em,val_qa_answer_f1,val_loss,test_avg_qa_em,test_avg_qa_bert_score,test_avg_qa_answer_f1,test_avg_qa_sas,test_loss
0,2.330448627471924,9,,,,,,,,,,
0,2.394178628921509,19,,,,,,,,,,
0,1.5483108758926392,29,,,,,,,,,,
0,1.6264467239379883,39,,,,,,,,,,
0,1.1495227813720703,49,,,,,,,,,,
0,,51,0.5133611559867859,0.8437394499778748,0.3045977056026459,0.47000882029533386,1.704386591911316,,,,,
1,1.5180730819702148,59,,,,,,,,,,
1,2.084920644760132,69,,,,,,,,,,
1,1.5160425901412964,79,,,,,,,,,,
1,1.5552103519439697,89,,,,,,,,,,
1,1.5056549310684204,99,,,,,,,,,,
1,,103,0.544921875,0.8571350574493408,0.35057470202445984,0.5080629587173462,1.5253019332885742,,,,,
2,1.3649715185165405,109,,,,,,,,,,
2,0.9144840240478516,119,,,,,,,,,,
2,2.4302945137023926,129,,,,,,,,,,
2,1.3322707414627075,139,,,,,,,,,,
2,1.6113847494125366,149,,,,,,,,,,
2,,155,0.5588822960853577,0.863978385925293,0.36781609058380127,0.5155342221260071,1.4482887983322144,,,,,
3,1.1263083219528198,159,,,,,,,,,,
3,0.9400910139083862,169,,,,,,,,,,
3,0.4013098180294037,179,,,,,,,,,,
3,1.4218461513519287,189,,,,,,,,,,
3,1.8036038875579834,199,,,,,,,,,,
3,,207,0.564697265625,0.8669620156288147,0.37931033968925476,0.5263442993164062,1.3981654644012451,,,,,
4,0.8325744271278381,209,,,,,,,,,,
4,0.786418080329895,219,,,,,,,,,,
4,1.0721303224563599,229,,,,,,,,,,
4,0.9244834780693054,239,,,,,,,,,,
4,0.8970140218734741,249,,,,,,,,,,
4,1.905517578125,259,,,,,,,,,,
4,,259,0.5825639367103577,0.8710851669311523,0.39080458879470825,0.5414783954620361,1.3727144002914429,,,,,
5,,260,,,,,,0.39080458879470825,0.8710851669311523,0.5414783954620361,0.5825639367103577,1.3727144002914429
