epoch,train_loss,step,val_qa_answer_f1,val_loss,val_qa_bert_score,val_qa_sas,val_qa_em,test_avg_qa_answer_f1,test_avg_qa_bert_score,test_loss,test_avg_qa_sas,test_avg_qa_em
0,2.384486198425293,9,,,,,,,,,,
0,2.917074203491211,19,,,,,,,,,,
0,1.7644885778427124,29,,,,,,,,,,
0,1.573897123336792,39,,,,,,,,,,
0,,48,0.23756113648414612,1.871404767036438,0.7663089036941528,0.2808794379234314,0.1312217265367508,,,,,
1,2.759080171585083,49,,,,,,,,,,
1,1.7760062217712402,59,,,,,,,,,,
1,1.7320938110351562,69,,,,,,,,,,
1,1.2096004486083984,79,,,,,,,,,,
1,1.0902632474899292,89,,,,,,,,,,
1,,97,0.39382776618003845,1.558133602142334,0.8253517746925354,0.4291120171546936,0.24886877834796906,,,,,
2,2.1283206939697266,99,,,,,,,,,,
2,1.2939834594726562,109,,,,,,,,,,
2,1.9730734825134277,119,,,,,,,,,,
2,0.9210669994354248,129,,,,,,,,,,
2,1.3271085023880005,139,,,,,,,,,,
2,,146,0.47037380933761597,1.4399341344833374,0.8483873605728149,0.50177001953125,0.33484163880348206,,,,,
3,0.882373571395874,149,,,,,,,,,,
3,1.1032805442810059,159,,,,,,,,,,
3,0.8526432514190674,169,,,,,,,,,,
3,1.1310369968414307,179,,,,,,,,,,
3,1.2192479372024536,189,,,,,,,,,,
3,,195,0.49573472142219543,1.3634406328201294,0.8570322394371033,0.5369175672531128,0.3665158450603485,,,,,
4,1.0401039123535156,199,,,,,,,,,,
4,1.3178504705429077,209,,,,,,,,,,
4,1.5834286212921143,219,,,,,,,,,,
4,1.357675552368164,229,,,,,,,,,,
4,0.6207276582717896,239,,,,,,,,,,
4,,244,0.5100635290145874,1.323175072669983,0.8665959239006042,0.5564139485359192,0.3710407316684723,,,,,
5,,245,,,,,,0.5100635290145874,0.8665959239006042,1.323175072669983,0.5564139485359192,0.3710407316684723
