epoch,train_loss,step,val_qa_answer_f1,val_qa_bert_score,val_qa_sas,val_qa_em,val_loss,test_avg_qa_answer_f1,test_loss,test_avg_qa_bert_score,test_avg_qa_em,test_avg_qa_sas
0,2.8080174922943115,9,,,,,,,,,,
0,2.265376329421997,19,,,,,,,,,,
0,1.4786971807479858,29,,,,,,,,,,
0,1.9389852285385132,39,,,,,,,,,,
0,1.261360764503479,49,,,,,,,,,,
0,,52,0.4354049563407898,0.836357593536377,0.4618896543979645,0.2884615361690521,1.525331735610962,,,,,
1,1.8094781637191772,59,,,,,,,,,,
1,0.7442337870597839,69,,,,,,,,,,
1,9.901683807373047,79,,,,,,,,,,
1,2.0120468139648438,89,,,,,,,,,,
1,1.8496912717819214,99,,,,,,,,,,
1,,105,0.4792795479297638,0.8514367341995239,0.500805675983429,0.38461539149284363,1.3802835941314697,,,,,
2,1.6648796796798706,109,,,,,,,,,,
2,1.5966922044754028,119,,,,,,,,,,
2,1.5286564826965332,129,,,,,,,,,,
2,0.7024011015892029,139,,,,,,,,,,
2,1.4675533771514893,149,,,,,,,,,,
2,,158,0.48571106791496277,0.8542264699935913,0.510986328125,0.3910256326198578,1.3091830015182495,,,,,
3,1.5098334550857544,159,,,,,,,,,,
3,1.264635443687439,169,,,,,,,,,,
3,1.3921284675598145,179,,,,,,,,,,
3,1.6221884489059448,189,,,,,,,,,,
3,0.6481895446777344,199,,,,,,,,,,
3,0.8061085343360901,209,,,,,,,,,,
3,,211,0.5011419057846069,0.8597515225410461,0.523022472858429,0.41025641560554504,1.2532334327697754,,,,,
4,0.9771146178245544,219,,,,,,,,,,
4,1.4744771718978882,229,,,,,,,,,,
4,1.1853182315826416,239,,,,,,,,,,
4,0.6010971665382385,249,,,,,,,,,,
4,1.1206109523773193,259,,,,,,,,,,
4,,264,0.49020376801490784,0.8558449745178223,0.5149902105331421,0.39743590354919434,1.2567189931869507,,,,,
5,,265,,,,,,0.5011419057846069,1.2532334327697754,0.8597515225410461,0.41025641560554504,0.523022472858429
