step,train_loss,epoch,val_qa_bert_score,val_qa_em,val_loss,val_qa_answer_f1,val_qa_sas,test_loss
9,1.0640206336975098,0,,,,,,
19,1.204337477684021,0,,,,,,
29,0.43618738651275635,0,,,,,,
39,0.6399969458580017,0,,,,,,
49,1.0309444665908813,0,,,,,,
59,0.534740686416626,0,,,,,,
69,0.8444881439208984,0,,,,,,
79,0.6754208207130432,0,,,,,,
89,0.44114071130752563,0,,,,,,
99,0.7036634683609009,0,,,,,,
104,,0,0.8246241807937622,0.3205128312110901,0.1565573811531067,0.4388425350189209,0.476104736328125,
109,0.7874876856803894,1,,,,,,
119,0.47140076756477356,1,,,,,,
129,0.18209105730056763,1,,,,,,
139,0.4438188970088959,1,,,,,,
149,0.3616408705711365,1,,,,,,
159,0.5104578733444214,1,,,,,,
169,0.4890780746936798,1,,,,,,
179,0.30990278720855713,1,,,,,,
189,0.2685528099536896,1,,,,,,
199,0.1968669444322586,1,,,,,,
209,0.20893114805221558,1,,,,,,
209,,1,0.870438814163208,0.4871794879436493,0.12885138392448425,0.5795954465866089,0.6168182492256165,
219,0.19737450778484344,2,,,,,,
229,0.2750415802001953,2,,,,,,
239,0.34081217646598816,2,,,,,,
249,0.33786898851394653,2,,,,,,
259,0.23205535113811493,2,,,,,,
269,0.37980303168296814,2,,,,,,
279,0.18092796206474304,2,,,,,,
289,0.403092622756958,2,,,,,,
299,0.1507486253976822,2,,,,,,
309,0.19185592234134674,2,,,,,,
314,,2,0.8799470663070679,0.5128205418586731,0.12202074378728867,0.6192271113395691,0.6485152244567871,
319,0.274647980928421,3,,,,,,
329,0.27917221188545227,3,,,,,,
339,0.0750679299235344,3,,,,,,
349,0.24130135774612427,3,,,,,,
359,0.1542961597442627,3,,,,,,
369,0.2788441479206085,3,,,,,,
379,0.1905011683702469,3,,,,,,
389,0.1366894543170929,3,,,,,,
399,0.1097952201962471,3,,,,,,
409,0.13284222781658173,3,,,,,,
419,0.021195173263549805,3,,,,,,
419,,3,0.8811897039413452,0.5320512652397156,0.12455499172210693,0.6258510947227478,0.6518130302429199,
429,0.08868592232465744,4,,,,,,
439,0.12950168550014496,4,,,,,,
449,0.09790655970573425,4,,,,,,
459,0.1924213171005249,4,,,,,,
469,0.06260315328836441,4,,,,,,
479,0.21925698220729828,4,,,,,,
489,0.06436824798583984,4,,,,,,
499,0.1731727570295334,4,,,,,,
509,0.03586331754922867,4,,,,,,
519,0.07444564253091812,4,,,,,,
524,,4,0.8803371787071228,0.5256410241127014,0.13445308804512024,0.6220049262046814,0.6470645070075989,
525,,5,,,,,,0.12455499172210693
