em_testing,f1_score_testing,sas_testing,fold,gold_answers,model_answers
0.0,0.800000011920929,0.8844881057739258,2,thick cilantro,thick cilantro stems
1.0,1.0,0.959672749042511,2,bowl,bowl
1.0,1.0,0.9699666500091553,2,"garlic, ginger, thick cilantro stems, and half of the chili","garlic, ginger, thick cilantro stems, and half of the chili"
1.0,1.0,0.968511700630188,2,mortar and pestle,mortar and pestle
0.0,0.5714285969734192,0.5611134767532349,2,Thinly slice remaining half chili and set aside for garnish.,set aside for garnish.
1.0,1.0,0.9690185785293579,2,coconut milk,coconut milk
1.0,1.0,0.9716690182685852,2,Carefully spoon off about 3 tablespoons of the solid fat from the surface and place it in a large Dutch oven.,Carefully spoon off about 3 tablespoons of the solid fat from the surface and place it in a large Dutch oven.
1.0,1.0,0.9656605124473572,2,about 4 minutes,about 4 minutes
1.0,1.0,0.9665487408638,2,medium-high heat.,medium-high heat
1.0,1.0,0.9611756801605225,2,ginger,ginger
0.0,0.4761904776096344,0.6019074320793152,2,"Add half of sliced scallions and turmeric and cook, stirring, until lightly softened.","Cook, stirring, until lightly softened, about 1 minute."
1.0,1.0,0.950712263584137,2,stock,stock
1.0,1.0,0.9653207063674927,2,1 quart,1 quart
0.0,0.0,0.20922242105007172,2,bare simmer,medium-high heat
1.0,1.0,0.9732787609100342,2,"Cook until sweet potatoes are totally softened, about 15 minutes.","Cook until sweet potatoes are totally softened, about 15 minutes."
0.0,0.16393442451953888,0.34004759788513184,2,"combine peanuts and remaining tablespoon oil in a medium skillet set over medium heat. Cook, tossing and stirring frequently, until peanuts are a deep golden brown","Transfer half of the remaining peanuts to the now-empty mortar and pestle. Sprinkle with 1 teaspoon sugar and a pinch of salt. Pound to form a rough paste, then transfer to pot of soup. Repeat with the other half of the remaining peanuts."
0.0,0.0,0.08115924149751663,2,medium skillet,bowl
0.0,0.3529411852359772,0.41493138670921326,2,about 8 minutes.,"Cook, tossing and stirring frequently, until peanuts are a deep golden brown, about 8 minutes."
1.0,1.0,0.9646674394607544,2,about 8 minutes,about 8 minutes
1.0,1.0,0.9698712825775146,2,Immediately transfer to a bowl to prevent scorching.,Immediately transfer to a bowl to prevent scorching.
0.0,0.0,0.1475490778684616,2,bowl,pot of soup
0.0,0.0,0.009943636134266853,2,cup,peanuts
0.0,0.22727273404598236,0.42304378747940063,2,Transfer 1/2 cup of peanuts to a cutting board and roughly chop. Reserve for garnish.,"Transfer half of the remaining peanuts to the now-empty mortar and pestle. Sprinkle with 1 teaspoon sugar and a pinch of salt. Pound to form a rough paste, then transfer to pot of soup."
0.0,0.89552241563797,0.8601643443107605,2,"Transfer half of the remaining peanuts to the now-empty mortar and pestle. Sprinkle with 1 teaspoon sugar and a pinch of salt. Pound to form a rough paste, then transfer to pot of soup.","Transfer half of the remaining peanuts to the now-empty mortar and pestle. Sprinkle with 1 teaspoon sugar and a pinch of salt. Pound to form a rough paste, then transfer to pot of soup. Repeat with the other half of the remaining peanuts."
0.0,0.3529411852359772,0.5309101939201355,2,"Sprinkle with 1 teaspoon sugar and a pinch of salt. Pound to form a rough paste, then transfer to pot of soup. Repeat with the other half of the remaining peanuts.",Sprinkle with about 1 teaspoon of salt.
0.0,0.0,0.014258135110139847,2,repeat,"sprinkle with 1 teaspoon sugar and a pinch of salt. Pound to form a rough paste, then transfer to pot of soup."
1.0,1.0,0.9668850898742676,2,peanuts,peanuts
1.0,1.0,0.9732662439346313,2,blend soup until mostly smooth but a little texture remains using a hand blender directly in the pot or by transferring to a countertop blender in batches.,Blend soup until mostly smooth but a little texture remains using a hand blender directly in the pot or by transferring to a countertop blender in batches.
