step,train_loss,epoch,val_qa_answer_f1,val_loss,val_qa_em,val_qa_bert_score,val_qa_sas,test_avg_qa_answer_f1,test_loss,test_avg_qa_bert_score,test_avg_qa_em,test_avg_qa_sas
9,0.5390784740447998,0,,,,,,,,,,
19,0.2757514417171478,0,,,,,,,,,,
29,0.23684068024158478,0,,,,,,,,,,
39,0.19219791889190674,0,,,,,,,,,,
49,0.20480968058109283,0,,,,,,,,,,
59,0.31193843483924866,0,,,,,,,,,,
69,0.1686582863330841,0,,,,,,,,,,
79,0.17283515632152557,0,,,,,,,,,,
89,0.11905189603567123,0,,,,,,,,,,
94,,0,0.4430566132068634,0.11075948178768158,0.3822714686393738,0.8722000122070312,0.4988323748111725,,,,,
99,0.1339680701494217,1,,,,,,,,,,
109,0.08980893343687057,1,,,,,,,,,,
119,0.11749132722616196,1,,,,,,,,,,
129,0.10766478627920151,1,,,,,,,,,,
139,0.10267413407564163,1,,,,,,,,,,
149,0.1392577439546585,1,,,,,,,,,,
159,0.11589570343494415,1,,,,,,,,,,
169,0.12973885238170624,1,,,,,,,,,,
179,0.12552765011787415,1,,,,,,,,,,
189,0.13995012640953064,1,,,,,,,,,,
189,,1,0.5061826705932617,0.09566035866737366,0.4542936384677887,0.8864496350288391,0.5517896413803101,,,,,
199,0.12794189155101776,2,,,,,,,,,,
209,0.13751214742660522,2,,,,,,,,,,
219,0.09917770326137543,2,,,,,,,,,,
229,0.10853143781423569,2,,,,,,,,,,
239,0.1351093053817749,2,,,,,,,,,,
249,0.07927081733942032,2,,,,,,,,,,
259,0.1360630989074707,2,,,,,,,,,,
269,0.09832540154457092,2,,,,,,,,,,
279,0.16403540968894958,2,,,,,,,,,,
284,,2,0.5411739349365234,0.09816908091306686,0.49030470848083496,0.8947126269340515,0.580661952495575,,,,,
289,0.09137675166130066,3,,,,,,,,,,
299,0.1069037914276123,3,,,,,,,,,,
309,0.10374714434146881,3,,,,,,,,,,
319,0.08702732622623444,3,,,,,,,,,,
329,0.14515648782253265,3,,,,,,,,,,
339,0.1491842269897461,3,,,,,,,,,,
349,0.13103678822517395,3,,,,,,,,,,
359,0.09237157553434372,3,,,,,,,,,,
369,0.08503613620996475,3,,,,,,,,,,
379,0.10872688889503479,3,,,,,,,,,,
379,,3,0.5295997858047485,0.09434196352958679,0.4819944500923157,0.8922411799430847,0.57007896900177,,,,,
389,0.09193798899650574,4,,,,,,,,,,
399,0.08368480950593948,4,,,,,,,,,,
409,0.07633984088897705,4,,,,,,,,,,
419,0.11572619527578354,4,,,,,,,,,,
429,0.14002151787281036,4,,,,,,,,,,
439,0.06780670583248138,4,,,,,,,,,,
449,0.08740375936031342,4,,,,,,,,,,
459,0.06609874963760376,4,,,,,,,,,,
469,0.1120321974158287,4,,,,,,,,,,
474,,4,0.5513296723365784,0.08701258152723312,0.5013850331306458,0.8979550004005432,0.5863620638847351,,,,,
475,,5,,,,,,0.5513296723365784,0.08701258152723312,0.8979550004005432,0.5013850331306458,0.5863620638847351
