epoch,step,train_loss,val_qa_bert_score,val_qa_sas,val_loss,val_qa_em,val_qa_answer_f1,test_avg_qa_em,test_avg_qa_answer_f1,test_avg_qa_bert_score,test_loss,test_avg_qa_sas
0,9,1.1282399892807007,,,,,,,,,,
0,19,1.4040679931640625,,,,,,,,,,
0,29,0.6448189616203308,,,,,,,,,,
0,39,1.377739667892456,,,,,,,,,,
0,49,0.4481407403945923,,,,,,,,,,
0,59,1.033502459526062,,,,,,,,,,
0,69,1.4133762121200562,,,,,,,,,,
0,79,0.8076969981193542,,,,,,,,,,
0,89,0.4365648627281189,,,,,,,,,,
0,94,,0.8560869693756104,0.44896399974823,0.6061800718307495,0.31197771430015564,0.3685026466846466,,,,,
1,99,0.6281217336654663,,,,,,,,,,
1,109,1.1778744459152222,,,,,,,,,,
1,119,nan,,,,,,,,,,
1,129,0.5292423963546753,,,,,,,,,,
1,139,0.816463053226471,,,,,,,,,,
1,149,0.575235903263092,,,,,,,,,,
1,159,0.2681989073753357,,,,,,,,,,
1,169,0.765920877456665,,,,,,,,,,
1,179,0.44030216336250305,,,,,,,,,,
1,189,0.2771757245063782,,,,,,,,,,
1,189,,0.88355952501297,0.551120936870575,0.5555780529975891,0.41225627064704895,0.5037142634391785,,,,,
2,199,0.5204066038131714,,,,,,,,,,
2,209,0.3541795015335083,,,,,,,,,,
2,219,0.6260676383972168,,,,,,,,,,
2,229,nan,,,,,,,,,,
2,239,0.9629945755004883,,,,,,,,,,
2,249,0.6356027722358704,,,,,,,,,,
2,259,0.9985530376434326,,,,,,,,,,
2,269,0.8158302903175354,,,,,,,,,,
2,279,0.46523234248161316,,,,,,,,,,
2,284,,0.8906661868095398,0.5598781704902649,0.5468456745147705,0.4540390074253082,0.5217371582984924,,,,,
3,289,0.7403846383094788,,,,,,,,,,
3,299,0.7821496725082397,,,,,,,,,,
3,309,0.4709687829017639,,,,,,,,,,
3,319,1.2145702838897705,,,,,,,,,,
3,329,0.449459969997406,,,,,,,,,,
3,339,0.30484598875045776,,,,,,,,,,
3,349,0.4327734112739563,,,,,,,,,,
3,359,0.8908095955848694,,,,,,,,,,
3,369,0.5679531693458557,,,,,,,,,,
3,379,0.5141922831535339,,,,,,,,,,
3,379,,0.8922968506813049,0.57298743724823,0.5335782766342163,0.4596100151538849,0.5383156538009644,,,,,
4,389,0.8723001480102539,,,,,,,,,,
4,399,0.48891541361808777,,,,,,,,,,
4,409,0.5258095860481262,,,,,,,,,,
4,419,0.7438172698020935,,,,,,,,,,
4,429,0.3024110198020935,,,,,,,,,,
4,439,0.5646874308586121,,,,,,,,,,
4,449,1.0910229682922363,,,,,,,,,,
4,459,0.04343309625983238,,,,,,,,,,
4,469,0.5171207785606384,,,,,,,,,,
4,474,,0.8927140235900879,0.579494297504425,0.5242621302604675,0.46518105268478394,0.5408660769462585,,,,,
5,475,,,,,,,0.46518105268478394,0.5408660769462585,0.8927140235900879,0.5242621302604675,0.579494297504425
