step,train_loss,epoch,val_loss,val_qa_bert_score,val_qa_answer_f1,val_qa_em,val_qa_sas,test_avg_qa_em,test_avg_qa_answer_f1,test_avg_qa_bert_score,test_loss,test_avg_qa_sas
9,2.253127336502075,0,,,,,,,,,,
19,2.2367420196533203,0,,,,,,,,,,
29,1.8396188020706177,0,,,,,,,,,,
39,1.9123847484588623,0,,,,,,,,,,
49,1.9061667919158936,0,,,,,,,,,,
52,,0,1.8970489501953125,0.7713463306427002,0.16243743896484375,0.049504950642585754,0.24869009852409363,,,,,
59,2.2644410133361816,1,,,,,,,,,,
69,1.882606029510498,1,,,,,,,,,,
79,2.113485813140869,1,,,,,,,,,,
89,2.0453357696533203,1,,,,,,,,,,
99,1.711474895477295,1,,,,,,,,,,
105,,1,1.813248872756958,0.7836154103279114,0.21485400199890137,0.06435643881559372,0.3065091669559479,,,,,
109,2.0194263458251953,2,,,,,,,,,,
119,1.449819564819336,2,,,,,,,,,,
129,1.6852390766143799,2,,,,,,,,,,
139,1.5727838277816772,2,,,,,,,,,,
149,1.4361906051635742,2,,,,,,,,,,
158,,2,1.773253321647644,0.7916826009750366,0.24404846131801605,0.07920791953802109,0.34454816579818726,,,,,
159,1.8398137092590332,3,,,,,,,,,,
169,1.7765074968338013,3,,,,,,,,,,
179,1.5448079109191895,3,,,,,,,,,,
189,1.452932357788086,3,,,,,,,,,,
199,1.7723453044891357,3,,,,,,,,,,
209,1.1164846420288086,3,,,,,,,,,,
211,,3,1.7393020391464233,0.7954922318458557,0.24991564452648163,0.07920791953802109,0.3724459111690521,,,,,
219,2.2155423164367676,4,,,,,,,,,,
229,1.497698187828064,4,,,,,,,,,,
239,1.838044285774231,4,,,,,,,,,,
249,1.5508134365081787,4,,,,,,,,,,
259,2.0065689086914062,4,,,,,,,,,,
264,,4,1.7308721542358398,0.7867524027824402,0.22565700113773346,0.0891089141368866,0.3260967433452606,,,,,
265,,5,,,,,,0.0891089141368866,0.22565700113773346,0.7867524027824402,1.7308721542358398,0.3260967433452606
