step,train_loss,epoch,val_qa_sas,val_qa_em,val_qa_bert_score,val_qa_answer_f1,val_loss,test_avg_qa_em,test_avg_qa_sas,test_avg_qa_answer_f1,test_loss,test_avg_qa_bert_score
9,0.8794261813163757,0,,,,,,,,,,
19,2.8734519481658936,0,,,,,,,,,,
29,1.3660467863082886,0,,,,,,,,,,
39,1.0328724384307861,0,,,,,,,,,,
49,1.3874725103378296,0,,,,,,,,,,
49,,0,0.44458821415901184,0.12916666269302368,0.8249667286872864,0.36871248483657837,1.4465945959091187,,,,,
59,0.5901247262954712,1,,,,,,,,,,
69,0.8909662961959839,1,,,,,,,,,,
79,1.8245689868927002,1,,,,,,,,,,
89,0.7710895538330078,1,,,,,,,,,,
99,0.5202811360359192,1,,,,,,,,,,
99,,1,0.4666503965854645,0.11249999701976776,0.8269122242927551,0.37080028653144836,1.3853188753128052,,,,,
109,0.4089180827140808,2,,,,,,,,,,
119,0.8221296668052673,2,,,,,,,,,,
129,0.2675562798976898,2,,,,,,,,,,
139,1.5670522451400757,2,,,,,,,,,,
149,1.0040251016616821,2,,,,,,,,,,
149,,2,0.48352864384651184,0.12083332985639572,0.835652768611908,0.39848652482032776,1.3568847179412842,,,,,
159,0.7910120487213135,3,,,,,,,,,,
169,0.5267419219017029,3,,,,,,,,,,
179,0.8373525738716125,3,,,,,,,,,,
189,1.013765573501587,3,,,,,,,,,,
199,0.5538774132728577,3,,,,,,,,,,
199,,3,0.49459636211395264,0.1041666641831398,0.8335870504379272,0.3970722258090973,1.336577296257019,,,,,
209,1.175010323524475,4,,,,,,,,,,
219,0.5668212175369263,4,,,,,,,,,,
229,0.7091461420059204,4,,,,,,,,,,
239,0.7963984608650208,4,,,,,,,,,,
249,0.6118727922439575,4,,,,,,,,,,
249,,4,0.4930419921875,0.11249999701976776,0.8366140127182007,0.4034135639667511,1.3250757455825806,,,,,
250,,5,,,,,,0.11249999701976776,0.4930419921875,0.4034135639667511,1.3250757455825806,0.8366140127182007
