epoch,train_loss,step,val_qa_em,val_qa_bert_score,val_qa_sas,val_qa_answer_f1,val_loss,test_avg_qa_sas,test_loss,test_avg_qa_em,test_avg_qa_bert_score,test_avg_qa_answer_f1
0,1.145419955253601,9,,,,,,,,,,
0,0.8845611214637756,19,,,,,,,,,,
0,0.8522023558616638,29,,,,,,,,,,
0,0.6187272667884827,39,,,,,,,,,,
0,0.6854994893074036,49,,,,,,,,,,
0,0.6004700064659119,59,,,,,,,,,,
0,,62,0.2763157784938812,0.819437563419342,0.3212442398071289,0.36208394169807434,0.404914915561676,,,,,
1,0.4489209055900574,69,,,,,,,,,,
1,0.518593430519104,79,,,,,,,,,,
1,0.47977977991104126,89,,,,,,,,,,
1,0.48917603492736816,99,,,,,,,,,,
1,0.4035283923149109,109,,,,,,,,,,
1,0.3318057656288147,119,,,,,,,,,,
1,,125,0.3333333432674408,0.8381139039993286,0.3964790999889374,0.41242653131484985,0.31240326166152954,,,,,
2,0.4234738349914551,129,,,,,,,,,,
2,0.48405715823173523,139,,,,,,,,,,
2,0.2953721284866333,149,,,,,,,,,,
2,0.25464239716529846,159,,,,,,,,,,
2,0.25899434089660645,169,,,,,,,,,,
2,0.28627023100852966,179,,,,,,,,,,
2,,188,0.359649121761322,0.8428962230682373,0.40302222967147827,0.4389297366142273,0.2945709228515625,,,,,
3,0.32871514558792114,189,,,,,,,,,,
3,0.26643049716949463,199,,,,,,,,,,
3,0.29449743032455444,209,,,,,,,,,,
3,0.2400033324956894,219,,,,,,,,,,
3,0.27790650725364685,229,,,,,,,,,,
3,0.33932191133499146,239,,,,,,,,,,
3,0.19457922875881195,249,,,,,,,,,,
3,,251,0.31578946113586426,0.8232518434524536,0.36334577202796936,0.3818620443344116,0.30837658047676086,,,,,
4,0.2557230591773987,259,,,,,,,,,,
4,0.25880998373031616,269,,,,,,,,,,
4,0.27549898624420166,279,,,,,,,,,,
4,0.19877834618091583,289,,,,,,,,,,
4,0.2689947783946991,299,,,,,,,,,,
4,0.38817355036735535,309,,,,,,,,,,
4,,314,0.41228070855140686,0.8612536191940308,0.4761154055595398,0.5031288266181946,0.24669115245342255,,,,,
5,,315,,,,,,0.4761154055595398,0.24669115245342255,0.41228070855140686,0.8612536191940308,0.5031288266181946
