step,epoch,train_loss,val_loss,val_qa_bert_score,val_qa_em,val_qa_answer_f1,val_qa_sas,test_avg_qa_em,test_avg_qa_answer_f1,test_loss,test_avg_qa_bert_score,test_avg_qa_sas
9,0,1.1564797163009644,,,,,,,,,,
19,0,0.9182884693145752,,,,,,,,,,
29,0,0.7735406756401062,,,,,,,,,,
39,0,0.7980350852012634,,,,,,,,,,
41,0,,0.6045911908149719,0.7778481841087341,0.1753246784210205,0.2518560290336609,0.22504882514476776,,,,,
49,1,0.610533595085144,,,,,,,,,,
59,1,0.643061101436615,,,,,,,,,,
69,1,0.41927769780158997,,,,,,,,,,
79,1,0.5594959259033203,,,,,,,,,,
83,1,,0.38444823026657104,0.7916773557662964,0.26623377203941345,0.32126399874687195,0.2973266541957855,,,,,
89,2,0.41838154196739197,,,,,,,,,,
99,2,0.4770851731300354,,,,,,,,,,
109,2,0.4302136301994324,,,,,,,,,,
119,2,0.3658773899078369,,,,,,,,,,
125,2,,0.3123427629470825,0.8039087057113647,0.29870128631591797,0.35811397433280945,0.3305419981479645,,,,,
129,3,0.32694295048713684,,,,,,,,,,
139,3,0.3121056854724884,,,,,,,,,,
149,3,0.41927266120910645,,,,,,,,,,
159,3,0.27151545882225037,,,,,,,,,,
167,3,,0.2904318571090698,0.8261272311210632,0.3571428656578064,0.4203241169452667,0.3913940489292145,,,,,
169,4,0.30051538348197937,,,,,,,,,,
179,4,0.3686027526855469,,,,,,,,,,
189,4,0.4958905577659607,,,,,,,,,,
199,4,0.5241644978523254,,,,,,,,,,
209,4,0.2132604420185089,,,,,,,,,,
209,4,,0.27392157912254333,0.8327024579048157,0.3896103799343109,0.4457106292247772,0.41773682832717896,,,,,
210,5,,,,,,,0.3896103799343109,0.4457106292247772,0.27392157912254333,0.8327024579048157,0.41773682832717896
