step,train_loss,epoch,val_loss,val_qa_answer_f1,val_qa_em,val_qa_bert_score,val_qa_sas,test_avg_qa_em,test_avg_qa_answer_f1,test_loss,test_avg_qa_bert_score,test_avg_qa_sas
9,1.3661428689956665,0,,,,,,,,,,
19,1.441855549812317,0,,,,,,,,,,
29,1.0762133598327637,0,,,,,,,,,,
39,0.6264528036117554,0,,,,,,,,,,
41,,0,0.5270713567733765,0.252116322517395,0.1666666716337204,0.7938182353973389,0.29110994935035706,,,,,
49,0.6070027351379395,1,,,,,,,,,,
59,0.3077881336212158,1,,,,,,,,,,
69,0.6389485001564026,1,,,,,,,,,,
79,0.44414207339286804,1,,,,,,,,,,
83,,1,0.3613070845603943,0.36435967683792114,0.3024691343307495,0.827242910861969,0.38796165585517883,,,,,
89,0.6623454689979553,2,,,,,,,,,,
99,0.3494282364845276,2,,,,,,,,,,
109,0.33415350317955017,2,,,,,,,,,,
119,0.37190642952919006,2,,,,,,,,,,
125,,2,0.33806660771369934,0.3924247622489929,0.327160507440567,0.8382962942123413,0.41897860169410706,,,,,
129,0.39916419982910156,3,,,,,,,,,,
139,0.3503868877887726,3,,,,,,,,,,
149,0.6010383367538452,3,,,,,,,,,,
159,0.3701316714286804,3,,,,,,,,,,
167,,3,0.31510666012763977,0.41851571202278137,0.3580246865749359,0.8451184630393982,0.4446355700492859,,,,,
169,0.460359126329422,4,,,,,,,,,,
179,0.29746052622795105,4,,,,,,,,,,
189,0.3495994210243225,4,,,,,,,,,,
199,0.3207414448261261,4,,,,,,,,,,
209,0.34974655508995056,4,,,,,,,,,,
209,,4,0.3039098381996155,0.4301360249519348,0.37037035822868347,0.854319155216217,0.45450106263160706,,,,,
210,,5,,,,,,0.37037035822868347,0.4301360249519348,0.3039098381996155,0.854319155216217,0.45450106263160706
