step,train_loss,epoch,val_qa_em,val_loss,val_qa_sas,val_qa_bert_score,val_qa_answer_f1,test_loss
9,1.3523529767990112,0,,,,,,
19,0.4709753394126892,0,,,,,,
29,0.34840553998947144,0,,,,,,
39,0.5625715255737305,0,,,,,,
49,0.46547576785087585,0,,,,,,
59,0.26803168654441833,0,,,,,,
69,0.48784464597702026,0,,,,,,
79,0.32422351837158203,0,,,,,,
82,,0,0.2222222238779068,0.09092538803815842,0.3138766586780548,0.7891981601715088,0.27514851093292236,
89,0.1048051118850708,1,,,,,,
99,0.2682422995567322,1,,,,,,
109,0.26246920228004456,1,,,,,,
119,0.22698891162872314,1,,,,,,
129,0.22897900640964508,1,,,,,,
139,0.3012501895427704,1,,,,,,
149,0.2619827389717102,1,,,,,,
159,0.1718127727508545,1,,,,,,
165,,1,0.2839506268501282,0.07347913086414337,0.33557209372520447,0.8033784031867981,0.33381572365760803,
169,0.18942603468894958,2,,,,,,
179,0.14652785658836365,2,,,,,,
189,0.2231561243534088,2,,,,,,
199,0.12549477815628052,2,,,,,,
209,0.11448018252849579,2,,,,,,
219,0.06287988275289536,2,,,,,,
229,0.1843062937259674,2,,,,,,
239,0.15897594392299652,2,,,,,,
248,,2,0.34567901492118835,0.06803680211305618,0.38073065876960754,0.8208919167518616,0.39837679266929626,
249,0.1140766441822052,3,,,,,,
259,0.08913525193929672,3,,,,,,
269,0.2311650812625885,3,,,,,,
279,0.06494159996509552,3,,,,,,
289,0.05561207979917526,3,,,,,,
299,0.11588695645332336,3,,,,,,
309,0.04232682287693024,3,,,,,,
319,0.03826283663511276,3,,,,,,
329,0.06365279853343964,3,,,,,,
331,,3,0.3827160596847534,0.06523681432008743,0.41789960861206055,0.8326296806335449,0.43993476033210754,
339,0.05674225836992264,4,,,,,,
349,0.14269541203975677,4,,,,,,
359,0.0393885001540184,4,,,,,,
369,0.025134669616818428,4,,,,,,
379,0.09389954805374146,4,,,,,,
389,0.07873406261205673,4,,,,,,
399,0.05229371786117554,4,,,,,,
409,0.10969378054141998,4,,,,,,
414,,4,0.3827160596847534,0.06712546944618225,0.42286786437034607,0.8319045305252075,0.44370707869529724,
415,,5,,,,,,0.06712546944618225
