step,train_loss,epoch,val_qa_em,val_qa_answer_f1,val_qa_sas,val_qa_bert_score,val_loss,test_loss
9,1.4400737285614014,0,,,,,,
19,0.5654827952384949,0,,,,,,
29,0.7411377429962158,0,,,,,,
39,0.3965361416339874,0,,,,,,
49,0.4887714385986328,0,,,,,,
59,0.27977120876312256,0,,,,,,
69,0.5080177187919617,0,,,,,,
79,0.26212018728256226,0,,,,,,
80,,0,0.22777777910232544,0.295961856842041,0.34287920594215393,0.7960427403450012,0.09546733647584915,
89,0.21854239702224731,1,,,,,,
99,0.3198051452636719,1,,,,,,
109,0.23682166635990143,1,,,,,,
119,0.22109724581241608,1,,,,,,
129,0.1753539890050888,1,,,,,,
139,0.2683951258659363,1,,,,,,
149,0.14205899834632874,1,,,,,,
159,0.2087913155555725,1,,,,,,
161,,1,0.3499999940395355,0.41449353098869324,0.3961200416088104,0.8238099813461304,0.08683401346206665,
169,0.12657730281352997,2,,,,,,
179,0.14787200093269348,2,,,,,,
189,0.1662680059671402,2,,,,,,
199,0.07293441146612167,2,,,,,,
209,0.11794354021549225,2,,,,,,
219,0.16987350583076477,2,,,,,,
229,0.19971393048763275,2,,,,,,
239,0.14044296741485596,2,,,,,,
242,,2,0.35555556416511536,0.4184798002243042,0.39222800731658936,0.8250218033790588,0.08081839233636856,
249,0.08330331742763519,3,,,,,,
259,0.0881810188293457,3,,,,,,
269,0.17920902371406555,3,,,,,,
279,0.11212185770273209,3,,,,,,
289,0.1301383674144745,3,,,,,,
299,0.08607904613018036,3,,,,,,
309,0.08963356167078018,3,,,,,,
319,0.14739912748336792,3,,,,,,
323,,3,0.3444444537162781,0.4155276417732239,0.38801994919776917,0.8241348266601562,0.07882142812013626,
329,0.06170407310128212,4,,,,,,
339,0.06429333984851837,4,,,,,,
349,0.07299918681383133,4,,,,,,
359,0.04830533266067505,4,,,,,,
369,0.08475599437952042,4,,,,,,
379,0.07393044233322144,4,,,,,,
389,0.06102333217859268,4,,,,,,
399,0.08785932511091232,4,,,,,,
404,,4,0.3722222149372101,0.4435309171676636,0.41696345806121826,0.8303139209747314,0.08080634474754333,
405,,5,,,,,,0.08080634474754333
