step,train_loss,epoch,val_qa_answer_f1,val_qa_bert_score,val_qa_sas,val_qa_em,val_loss,test_avg_qa_answer_f1,test_avg_qa_bert_score,test_avg_qa_em,test_avg_qa_sas,test_loss
9,2.1341798305511475,0,,,,,,,,,,
19,1.7541266679763794,0,,,,,,,,,,
29,1.9789540767669678,0,,,,,,,,,,
39,1.4354127645492554,0,,,,,,,,,,
49,1.248440146446228,0,,,,,,,,,,
51,,0,0.48804113268852234,0.8470591306686401,0.5509440302848816,0.3097345232963562,1.5391227006912231,,,,,
59,1.7333247661590576,1,,,,,,,,,,
69,1.6140470504760742,1,,,,,,,,,,
79,1.2813091278076172,1,,,,,,,,,,
89,1.3306440114974976,1,,,,,,,,,,
99,1.4270086288452148,1,,,,,,,,,,
103,,1,0.5219138860702515,0.8539626002311707,0.5673177242279053,0.3761062026023865,1.3872464895248413,,,,,
109,2.076113700866699,2,,,,,,,,,,
119,1.4499907493591309,2,,,,,,,,,,
129,0.962670087814331,2,,,,,,,,,,
139,1.6993998289108276,2,,,,,,,,,,
149,0.833931565284729,2,,,,,,,,,,
155,,2,0.5202143788337708,0.8550047278404236,0.5694498419761658,0.36725664138793945,1.3393338918685913,,,,,
159,1.5375902652740479,3,,,,,,,,,,
169,1.3719617128372192,3,,,,,,,,,,
179,0.7151713967323303,3,,,,,,,,,,
189,0.5681833624839783,3,,,,,,,,,,
199,0.7744899988174438,3,,,,,,,,,,
207,,3,0.5097125768661499,0.860555112361908,0.560839831829071,0.37168142199516296,1.3087327480316162,,,,,
209,1.2485181093215942,4,,,,,,,,,,
219,0.7886057496070862,4,,,,,,,,,,
229,1.7426317930221558,4,,,,,,,,,,
239,0.911663293838501,4,,,,,,,,,,
249,0.5291807055473328,4,,,,,,,,,,
259,1.8999532461166382,4,,,,,,,,,,
259,,4,0.5341261029243469,0.8713633418083191,0.5767252445220947,0.389380544424057,1.2870268821716309,,,,,
260,,5,,,,,,0.5341261029243469,0.8713633418083191,0.389380544424057,0.5767252445220947,1.2870268821716309
